regime,environment,environment_fold,model,n,selected_config,rmse,mae,r2,correlation,novelty_nearest_z,novelty_mean5_z,max_training_kernel_similarity
CV-GE-continuous-B6R,2019-TXH3,4,B6-fixed-G+E,445,baseline,1.711306891363156,1.3529917890927274,-0.2540863741953516,0.03068924923716499,,,
CV-GE-continuous-B6R,2019-TXH3,4,Selected-G,445,environment_rank_32,1.6580052627078918,1.2941978089139865,-0.1771815863161843,0.009020706275967036,2.3132746165460916e-05,10.546952649031342,0.9999999999985109
CV-GE-continuous-B6R,2019-TXH3,4,Selected-G+E,445,environment_rank_32,1.647389266152591,1.2996837927033027,-0.1621551593950623,0.038214570046884035,2.3132746165460916e-05,10.546952649031342,0.9999999999985109
CV-GE-continuous-B6R,2019-TXH3,4,Selected-G+E+GxE,445,environment_rank_32,1.5800088395997873,1.1970517148689555,-0.06903194755884257,0.17572509129390412,2.3132746165460916e-05,10.546952649031342,0.9999999999985109
CV-GE-continuous-B6R,2019-WIH1,2,B6-fixed-G+E,580,baseline,2.70961423449884,2.3024045418784187,-0.5077985927689745,0.04712452044964662,,,
CV-GE-continuous-B6R,2019-WIH1,2,Selected-G,580,environment_rank_32,3.208879446453317,2.791268634873965,-1.1146339790196929,0.04181403318655506,11.147162578306416,12.393467429098477,0.7107786785326532
CV-GE-continuous-B6R,2019-WIH1,2,Selected-G+E,580,environment_rank_32,3.0378557144319167,2.621577817253198,-0.8952333459289472,0.042030495850483116,11.147162578306416,12.393467429098477,0.7107786785326532
CV-GE-continuous-B6R,2019-WIH1,2,Selected-G+E+GxE,580,environment_rank_32,4.460091634246205,3.945272561321034,-3.0852248637187882,-0.04677001407196053,11.147162578306416,12.393467429098477,0.7107786785326532
CV-GE-continuous-B6R,2019-WIH2,4,B6-fixed-G+E,1113,baseline,2.921400655838173,2.495133836252532,-2.0713949649822254,0.08101463033256394,,,
CV-GE-continuous-B6R,2019-WIH2,4,Selected-G,1113,environment_rank_32,2.2600403614281683,1.8237743113134666,-0.8381705907122421,0.1702068655639699,16.077172521231496,16.508433250580467,0.48710246332314955
CV-GE-continuous-B6R,2019-WIH2,4,Selected-G+E,1113,environment_rank_32,2.9883870064898197,2.56083239069974,-2.2138610922086985,0.002805709057825492,16.077172521231496,16.508433250580467,0.48710246332314955
CV-GE-continuous-B6R,2019-WIH2,4,Selected-G+E+GxE,1113,environment_rank_32,2.8166466443968665,2.3753034224641625,-1.8550791810222669,0.22179666658564626,16.077172521231496,16.508433250580467,0.48710246332314955
CV-GE-continuous-B6R,2020-DEH1,3,B6-fixed-G+E,1143,baseline,2.919643590449473,2.4227355303277243,-1.32188569667399,0.4806679447619097,,,
CV-GE-continuous-B6R,2020-DEH1,3,Selected-G,1143,environment_narrower,2.332538236431847,1.879572099942111,-0.48196757482415276,0.5111098806445781,27.649186259345107,28.45141308890672,0.014643264634143987
CV-GE-continuous-B6R,2020-DEH1,3,Selected-G+E,1143,environment_narrower,1.9566400866764704,1.5046045273999733,-0.042804872737201016,0.4909857042288693,27.649186259345107,28.45141308890672,0.014643264634143987
CV-GE-continuous-B6R,2020-DEH1,3,Selected-G+E+GxE,1143,environment_narrower,1.8017014506839522,1.4367996932577656,0.11580752494013369,0.3810622286658677,27.649186259345107,28.45141308890672,0.014643264634143987
CV-GE-continuous-B6R,2020-INH1,3,B6-fixed-G+E,415,baseline,1.6475417983825122,1.2912841812970783,-0.01022057539899901,0.09386603185852495,,,
CV-GE-continuous-B6R,2020-INH1,3,Selected-G,415,environment_narrower,2.1441259656532257,1.692776320113372,-0.71097600525751,0.04670276753197509,10.451758668724565,11.474824114901875,0.546865639312392
CV-GE-continuous-B6R,2020-INH1,3,Selected-G+E,415,environment_narrower,1.7229910789108012,1.342343203346445,-0.10486542754650885,0.07140962252143364,10.451758668724565,11.474824114901875,0.546865639312392
CV-GE-continuous-B6R,2020-INH1,3,Selected-G+E+GxE,415,environment_narrower,2.486151037919718,2.0563287787113618,-1.3003734424619466,0.06399709215675525,10.451758668724565,11.474824114901875,0.546865639312392
CV-GE-continuous-B6R,2020-MIH1,4,B6-fixed-G+E,415,baseline,3.949438841355542,3.7228448073554232,-8.800076835640573,0.037719317765442524,,,
CV-GE-continuous-B6R,2020-MIH1,4,Selected-G,415,environment_rank_32,3.295467942650305,3.021908593626493,-5.823275035226184,0.01678134995530077,10.248775986578279,10.387006116780976,0.7465474040847365
CV-GE-continuous-B6R,2020-MIH1,4,Selected-G+E,415,environment_rank_32,3.344601514186417,3.075249371029892,-6.028254167936451,0.022282729352788074,10.248775986578279,10.387006116780976,0.7465474040847365
CV-GE-continuous-B6R,2020-MIH1,4,Selected-G+E+GxE,415,environment_rank_32,2.9618143511820576,2.6617491573751875,-4.511557733178439,0.08006180944452139,10.248775986578279,10.387006116780976,0.7465474040847365
CV-GE-continuous-B6R,2020-MNH1,3,B6-fixed-G+E,392,baseline,1.4677337304212217,1.1225799466357682,0.0034892114511371197,0.21337203768424973,,,
CV-GE-continuous-B6R,2020-MNH1,3,Selected-G,392,environment_narrower,1.4999975462242146,1.1505299785348357,-0.0408030401423396,0.2630399104158291,7.167043098130133,9.592549242253982,0.752915398757802
CV-GE-continuous-B6R,2020-MNH1,3,Selected-G+E,392,environment_narrower,1.6179963702880706,1.248110010633299,-0.21099553226334788,0.250854295218299,7.167043098130133,9.592549242253982,0.752915398757802
CV-GE-continuous-B6R,2020-MNH1,3,Selected-G+E+GxE,392,environment_narrower,1.6542436978116624,1.2739960419396008,-0.265862202588651,0.20016370713501633,7.167043098130133,9.592549242253982,0.752915398757802
CV-GE-continuous-B6R,2020-NEH1,1,B6-fixed-G+E,246,baseline,1.8417433761293185,1.4275580534386538,-0.016412196955231995,0.14647097217783497,,,
CV-GE-continuous-B6R,2020-NEH1,1,Selected-G,246,environment_narrower,1.846952586149723,1.4055717419836242,-0.022169994131916892,0.2031070472822055,9.457922393562171,10.947764071198586,0.6106755011452003
CV-GE-continuous-B6R,2020-NEH1,1,Selected-G+E,246,environment_narrower,1.810552548506463,1.445140614067093,0.017723163409253728,0.13487599790686525,9.457922393562171,10.947764071198586,0.6106755011452003
CV-GE-continuous-B6R,2020-NEH1,1,Selected-G+E+GxE,246,environment_narrower,1.989179199114752,1.526367047584697,-0.18565804678712206,0.06853473790795091,9.457922393562171,10.947764071198586,0.6106755011452003
CV-GE-continuous-B6R,2020-NEH2,1,B6-fixed-G+E,245,baseline,2.1992474086580707,1.9782465187423566,-2.518222081478579,0.026495930681347243,,,
CV-GE-continuous-B6R,2020-NEH2,1,Selected-G,245,environment_narrower,1.7450621934927593,1.5079685463480952,-1.2151181296984435,-0.030874940044561035,10.987405231273126,13.685472983420942,0.5139655683404954
CV-GE-continuous-B6R,2020-NEH2,1,Selected-G+E,245,environment_narrower,2.496599220545521,2.282908066810285,-3.5339083132911924,0.024581826202031157,10.987405231273126,13.685472983420942,0.5139655683404954
CV-GE-continuous-B6R,2020-NEH2,1,Selected-G+E+GxE,245,environment_narrower,2.1482119210870243,1.9104039684871466,-2.356829760100232,-0.04932644582552036,10.987405231273126,13.685472983420942,0.5139655683404954
CV-GE-continuous-B6R,2020-NYH1,3,B6-fixed-G+E,22,baseline,1.840045935023929,1.4179116272151249,-0.05823362752565209,0.14800334609421759,,,
CV-GE-continuous-B6R,2020-NYH1,3,Selected-G,22,environment_narrower,2.5436956098540753,1.95742260125218,-1.0223415702152892,0.010656793331646172,7.413350747295105,9.305446665733792,0.7381233649234239
CV-GE-continuous-B6R,2020-NYH1,3,Selected-G+E,22,environment_narrower,1.9203938262525402,1.4330478632822496,-0.15266957615390409,0.20309276015708055,7.413350747295105,9.305446665733792,0.7381233649234239
CV-GE-continuous-B6R,2020-NYH1,3,Selected-G+E+GxE,22,environment_narrower,1.9972320418445884,1.4606309863069777,-0.24675545751958095,0.1723954613253993,7.413350747295105,9.305446665733792,0.7381233649234239
CV-GE-continuous-B6R,2020-NYH2,2,B6-fixed-G+E,386,baseline,2.1452149994954133,1.685745054419663,-0.01101759967743976,0.10631262840650413,,,
CV-GE-continuous-B6R,2020-NYH2,2,Selected-G,386,environment_rank_32,2.1592500058228254,1.7135917356486539,-0.024289981288486695,0.12737725203824365,3.038219499528709,8.53555598280705,0.9749579250438963
CV-GE-continuous-B6R,2020-NYH2,2,Selected-G+E,386,environment_rank_32,2.1834954029648515,1.6831992147129347,-0.04742185103051999,0.09748924680715376,3.038219499528709,8.53555598280705,0.9749579250438963
