environment,test_year,model,n,rmse,mae,r2,correlation
2018-ARH2,2018,T2-Mean12,429,4.478835050514112,4.419804554775583,-46.437119735190024,0.0028961983350145226
2018-ARH2,2018,T2-Median12,429,4.625053434103509,4.568079336503614,-49.58499187038938,0.010460150753302111
2018-DEH1,2018,Frozen-T1,595,3.2989864791192525,2.749466231894917,-1.6907308126665215,0.30850737364935554
2018-DEH1,2018,Frozen-T2,595,3.1294570640393657,2.560460403083338,-1.4212920480451534,0.30118156316972367
2018-DEH1,2018,T2-Mean12,595,3.173799438619231,2.612372603813527,-1.4903944443143509,0.31435594641963216
2018-DEH1,2018,T2-Median12,595,3.34608090485559,2.801410551247524,-1.7681017887219426,0.3259987387517541
2018-IAH2,2018,Frozen-T1,434,3.021685487486575,2.6370811294956615,-2.0814350890097653,0.10595628207884285
2018-IAH2,2018,Frozen-T2,434,2.9625233645304276,2.5774097080115252,-1.9619523972354949,0.1098293486592528
2018-IAH2,2018,T2-Mean12,434,2.9879189882771224,2.602162806406523,-2.0129515125461612,0.09180735122262837
2018-IAH2,2018,T2-Median12,434,2.997651365331723,2.611905887483244,-2.0326113069639926,0.08937941279229811
2018-IAH4,2018,Frozen-T1,804,2.9479478683046247,2.66828160738827,-4.236737133777057,-0.001547262875422077
2018-IAH4,2018,Frozen-T2,804,2.7008001711652474,2.4079455754152916,-3.3954776991841493,0.0038335729885079555
2018-IAH4,2018,T2-Mean12,804,2.238256985901332,1.923850213058657,-2.0188467949754108,-0.012152178905249653
2018-IAH4,2018,T2-Median12,804,2.6149806356379455,2.31417937453054,-3.120577913984289,-0.008880367446088501
2018-ILH1,2018,Frozen-T1,394,2.7300306107354393,2.3689817778945583,-2.0206980654013704,-0.13052114268121484
2018-ILH1,2018,Frozen-T2,394,2.516988158178534,2.1477690802624902,-1.5676429326875043,-0.12567246565269197
2018-ILH1,2018,T2-Mean12,394,2.446666653324717,2.0789040041508358,-1.4261736955265438,-0.13189430324764123
2018-ILH1,2018,T2-Median12,394,2.4714361495363857,2.102198901150657,-1.4755464162727647,-0.13389328638030792
2018-INH1,2018,Frozen-T1,407,2.660569848119407,2.3326407079325757,-2.9614997469378017,-0.01762473188147533
2018-INH1,2018,Frozen-T2,407,2.5843777589443024,2.2530643997689808,-2.737853641967009,-0.01952617886983971
2018-INH1,2018,T2-Mean12,407,2.5292948239743547,2.198061932143655,-2.580215868229932,0.007829369129454014
2018-INH1,2018,T2-Median12,407,2.50523952634345,2.1685360539489893,-2.512439179759559,-0.015230448233220135
2018-MIH1,2018,Frozen-T1,375,1.8505880925686486,1.5627197015264431,-1.034455037873263,0.09144813324611747
2018-MIH1,2018,Frozen-T2,375,1.3996097951994937,1.1311893194945746,-0.16370396992098324,0.08361863298124747
2018-MIH1,2018,T2-Mean12,375,1.5046941043366187,1.229133311086369,-0.3450084353833147,0.10187457210130593
2018-MIH1,2018,T2-Median12,375,1.4579561212197893,1.1870418554155706,-0.26275028917702725,0.09608546977694389
2018-MNH1,2018,Frozen-T1,916,1.7641624520307497,1.3565595009056333,-0.08400306351646014,0.15830129873952287
2018-MNH1,2018,Frozen-T2,916,2.1288521221690018,1.625580095348322,-0.5784991425750543,0.15979518358352404
2018-MNH1,2018,T2-Mean12,916,1.9181854123165256,1.4522221464502774,-0.2815469709780092,0.12032721541265398
2018-MNH1,2018,T2-Median12,916,2.003166987105709,1.5169760639131449,-0.39761537375595846,0.08054126654279735
2018-MOH1,2018,Frozen-T1,790,1.52516175170289,1.2173029920660665,-0.4172690406104027,-0.017330835130292075
2018-MOH1,2018,Frozen-T2,790,1.541165285802538,1.230985124139641,-0.44716791657318544,-0.017414023535145078
2018-MOH1,2018,T2-Mean12,790,1.8208630996932227,1.4881892339546963,-1.0201102827341977,-0.015074969850575054
2018-MOH1,2018,T2-Median12,790,1.8696218298844263,1.5357837090944912,-1.1297470729879207,-0.01410032056570976
2018-NCH1,2018,Frozen-T1,639,2.9794947771379516,2.4824189067458122,-0.91664953130454,0.3087937755981904
2018-NCH1,2018,Frozen-T2,639,2.6517991541757207,2.183925063043694,-0.5182339750271465,0.301297938906022
2018-NCH1,2018,T2-Mean12,639,3.1129371923219677,2.607614135536348,-1.0921757642829224,0.3214818449338832
2018-NCH1,2018,T2-Median12,639,3.0931012915216485,2.589164363014748,-1.0655976697139597,0.3363341462713405
2018-NYH1,2018,Frozen-T1,373,1.887245798097357,1.4763872393919153,-0.09702330977883467,-0.011638046746638053
2018-NYH1,2018,Frozen-T2,373,1.8355669602094482,1.4608889415584125,-0.037765874059026316,-0.009764409273050882
2018-NYH1,2018,T2-Mean12,373,1.844420845825263,1.4831114921941244,-0.04780137851350741,-0.05285674412602935
2018-NYH1,2018,T2-Median12,373,1.8474647469890009,1.4846313778482472,-0.05126266624014497,-0.059807294098931235
2018-NYH2,2018,Frozen-T1,395,2.1389225276236576,1.6880188670053473,-0.2654907181711508,0.1875843337448545
2018-NYH2,2018,Frozen-T2,395,2.1580323673116633,1.704189471711637,-0.28820435584526094,0.18825300123450273
2018-NYH2,2018,T2-Mean12,395,2.2971401006029155,1.8257930668392608,-0.45963349725378433,0.15808059792269769
2018-NYH2,2018,T2-Median12,395,2.256119524223072,1.7874240296087878,-0.4079689024549733,0.14854906333698586
2018-NYH3,2018,Frozen-T1,416,3.514817362568267,3.168227254427609,-3.7766567786369114,0.10597264961375523
2018-NYH3,2018,Frozen-T2,416,3.4743254429703225,3.1257322111957184,-3.6672332310941007,0.10864505689932169
