environment_a,environment_b,n_common_genotypes,n_common_unordered_genotype_pairs,mean_prediction_offset_a_minus_b,environment_offset_sd_across_common_genotypes,max_abs_pairwise_contrast_deviation,max_abs_centered_prediction_deviation,local_max_float32_ulp,max_pairwise_deviation_in_local_float32_ulp,float32_four_term_ulp_budget,float32_implementation_bound,invariant_within_csv_only_precision,consistent_with_float32_implementation,uses_target_outcomes
MIH1_2024,NEH1_2024,15,105,0.5873129526733333,4.3652676781170816e-07,9.537400007531005e-07,6.993666659127484e-07,9.5367431640625e-07,1.0000688750296831,4.0,3.824697265625e-06,False,True,False
MIH1_2024,NEH2_2024,15,105,0.6167037963846665,3.9485620347593005e-07,9.537100016387967e-07,7.629346665538606e-07,9.5367431640625e-07,1.000037418678403,4.0,3.824697265625e-06,False,True,False
MIH1_2024,NYH2_2024,42,861,0.3054413568507143,4.820649869184249e-07,9.537299998640947e-07,4.995792863837778e-07,9.5367431640625e-07,1.000058388337493,4.0,3.824697265625e-06,False,True,False
MIH1_2024,NYH3_2024,41,820,0.30544129814731696,4.7567137388975425e-07,9.537299998640947e-07,5.582826805294872e-07,9.5367431640625e-07,1.000058388337493,4.0,3.824697265625e-06,False,True,False
MIH1_2024,OHH1_2024,15,105,0.259452565514,4.365204214750982e-07,9.53680000748136e-07,6.993639996011325e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
MIH1_2024,TXH1_2024,15,105,1.2737564722673331,4.924690132231157e-07,9.537000007497909e-07,5.086326666514651e-07,9.5367431640625e-07,1.0000269319862127,4.0,3.824697265625e-06,False,True,False
MIH1_2024,WIH1_2024,38,703,-1.605072347736842,4.585168328332717e-07,9.538100016470707e-07,6.274731578770343e-07,9.5367431640625e-07,1.0001422762870789,4.0,3.824697265625e-06,False,True,False
MIH1_2024,WIH2_2024,44,946,0.2710796052761363,4.77835801017956e-07,9.537400007531005e-07,5.418761368503056e-07,9.5367431640625e-07,1.0000688750296831,4.0,3.824697265625e-06,False,True,False
MIH1_2024,WIH3_2024,46,1035,0.22210417623652173,3.0011695134235703e-07,9.538000025344218e-07,8.500634791630546e-07,9.5367431640625e-07,1.0001317914575338,4.0,3.824697265625e-06,False,True,False
MOH1_2024,NCH1_2024,32,496,-1.3872199952615627,4.4398707412961126e-07,9.537699998674043e-07,5.662915611992503e-07,9.5367431640625e-07,1.0001003313809633,4.0,3.824697265625e-06,False,True,False
MOH1_2024,NEH1_2024,15,105,-1.294472471874667,3.543986237679239e-07,9.537199989750889e-07,7.311546657007284e-07,9.5367431640625e-07,1.0000479016453028,4.0,3.824697265625e-06,False,True,False
MOH1_2024,NEH2_2024,15,105,-1.2650816281633335,3.5439612488736243e-07,9.536800016363145e-07,7.311566658785296e-07,9.5367431640625e-07,1.0000059613958001,4.0,3.824697265625e-06,False,True,False
MOH1_2024,NYH2_2024,33,528,-1.5763441432603034,4.3429994999955514e-07,9.537400007531005e-07,6.069103033468082e-07,9.5367431640625e-07,1.0000688750296831,4.0,3.824697265625e-06,False,True,False
MOH1_2024,NYH3_2024,31,465,-1.5763441208874196,4.3892371226149345e-07,9.537400007531005e-07,5.845374193569342e-07,9.5367431640625e-07,1.0000688750296831,4.0,3.824697265625e-06,False,True,False
MOH1_2024,OHH1_2024,15,105,-1.6223328590340003,4.699721129007196e-07,1.4305200002340257e-06,7.629340013082242e-07,9.5367431640625e-07,1.5000089397653937,4.0,3.824697265625e-06,False,True,False
MOH1_2024,TXH1_2024,15,105,-0.6080289522806667,4.3653186447003027e-07,9.53680000748136e-07,5.404206682158019e-07,9.5367431640625e-07,1.0000059604644775,4.0,3.824697265625e-06,False,True,False
